tolundefined/w0 6087ms            | tol0.00013635384781205697/w0 5790ms| tol0.00004090615434361709/w0 6982ms| tol0.000013635384781205697/w0 8216ms
115   -3.22 -2.486    308  34         |   -1.56 -2.531    287  34         |   -2.49 -2.563    310  34         |   -0.31 -2.595    316  42         
116   -2.70 -2.499    304  34         |   -1.47 -2.540    287  34         |   -1.04 -2.563    286  36         |   -0.12 -2.602    645 200         
117   -5.43 -2.508    317  34         |   -1.43 -2.547    288  34         |   -0.68 -2.569    276  37         |   -0.95 -2.596    315  41         
118   -2.06 -2.519    296  34         |   -3.37 -2.546    306  34         |   -0.48 -2.575    277  39         |   -0.05 -2.607    253  41         
119   -1.55 -2.531    289  35         |   -1.37 -2.549    282  34         |   -1.91 -2.581    280  40         |    0.07 -2.614    281  42         
120   -1.47 -2.541    287  34         |   -0.91 -2.555    274  36         |   -0.21 -2.599    246  42         |    0.90 -2.626    277  46         
121   -1.53 -2.547    289  34         |   -0.78 -2.563    273  37         |    0.03 -2.612    276  44         |    7.54 -2.639    450 200         
122   -3.36 -2.547    305  34         |   -0.55 -2.569    278  39         |    0.48 -2.633    241  45         |    0.66 -2.644   1143 200         
123   -1.37 -2.549    284  35         |   -2.19 -2.577    279  41         |    0.66 -2.642    440 200         |    7.70 -2.639   1542 200         
124   -0.91 -2.555    275  36         |   -0.25 -2.597    243  42         |    0.62 -2.655    543 200         |    7.37 -2.639   1707 200         
125   -0.79 -2.562    272  37         |    0.03 -2.612    274  44         |    0.79 -2.668    538 200         |    7.75 -2.640   1706 200         
126   -0.56 -2.568    278  39         |    0.51 -2.635    242  46         |    0.92 -2.677    536 200         |    7.84 -2.640   1766 200         
127   -2.25 -2.576    279  41         |    9.12 -2.643    444 200         |    1.16 -2.694    527 200         |    0.69 -2.644   1756 200         
128   -0.27 -2.596    243  42         |    0.85 -2.656    547 200         |    1.05 -2.687    714 200         |    0.72 -2.644   1918 200         
129    0.02 -2.611    274  45         |    1.08 -2.668    537 200         |    1.02 -2.686    707 200         |    0.81 -2.644   1925 200         
130    0.48 -2.634    242  46         |    1.26 -2.678    534 200         |    1.13 -2.693    697 200         |    7.47 -2.639   2103 200         
131    8.65 -2.641    440 200         |    1.41 -2.686    521 200         |    1.06 -2.690    708 198         |    7.83 -2.640   1909 200         
132    0.83 -2.655    547 200         |    1.47 -2.716    315 177         |    1.41 -2.696    686 196         |    7.83 -2.640   1915 200         
133    1.07 -2.668    537 200         |    1.57 -2.725    442 160         |   20.00 -2.682*   875 194         |    7.91 -2.640   1894 200         
134    1.25 -2.677    534 200         |   20.00 -2.720*   393 137         |   20.00 -2.681*   692 193         |    7.85 -2.640   1887 200         
135    1.40 -2.686    522 200         |    1.93 -2.751    258 116         |   20.00 -2.685*   687 194         |    7.75 -2.640   1881 200         
136    1.46 -2.715    317 179         |    2.28 -2.776    144   9         |    1.55 -2.696    513 197         |    7.36 -2.639   1874 200         
137    1.56 -2.724    445 162         |    2.59 -2.799    144   9         |    1.11 -2.694    696 199         |    7.86 -2.640   1683 200         
138   20.00 -2.717*   388 138         |    2.87 -2.819    144   9         |    1.12 -2.693    685 200         |    7.74 -2.640   1689 200         
139    1.92 -2.750    259 117         |    3.11 -2.836    144   9         |    1.17 -2.696    503 200         |    7.51 -2.639   1675 200         
140    2.27 -2.775    144   9         |    3.30 -2.851    144   9         |    0.99 -2.684    691 198         |    8.24 -2.641   1489 200         
141    2.59 -2.798    144   9         |    3.46 -2.862    144   9         |    1.04 -2.687    683 200         |    8.36 -2.642   1486 200         
142    2.86 -2.818    144   9         |    3.58 -2.871    144   9         |    1.06 -2.688    500 191         |    0.41 -2.642   1300 200         
143    3.10 -2.836    144   9         |    3.67 -2.877    144   9         |    1.07 -2.690    499 196         |    8.03 -2.641   1296 200         
144    3.30 -2.850    144   9         |    3.61 -2.873    193  57         |    1.03 -2.687    497 192         |    0.43 -2.643   1099 200         
145    3.46 -2.862    144   9         |    3.62 -2.874    144   9         |    1.13 -2.696    330 195         |    0.40 -2.642   1099 200         
146    3.58 -2.871    144   9         |    3.62 -2.874    144   9         |    1.39 -2.696    319 182         |    8.09 -2.641   1099 200         
147    3.67 -2.878    144   9         |    3.59 -2.872    144   9         |    0.96 -2.685    521 200         |    7.87 -2.640    908 200         
148    3.72 -2.881    144   9         |    3.53 -2.868    144   9         |    0.99 -2.684    327 192         |    7.27 -2.638    908 200         
149    3.74 -2.883    144   9         |    3.44 -2.862    144   9         |    1.12 -2.695    144   9         |    0.35 -2.638    717 200         
150    3.73 -2.882    144   9         |    3.33 -2.854    144   9         |    1.05 -2.690    327 192         |    0.41 -2.644    526 200         
151    3.69 -2.879    144   9         |    3.20 -2.845    144   9         |    1.11 -2.694    144   9         |    0.39 -2.642    526 200         
152    3.62 -2.875    144   9         |    3.05 -2.834    144   9         |    1.12 -2.695    144   9         |    0.34 -2.638    335 200         
153    3.52 -2.868    144   9         |    2.88 -2.822    144   9         |    1.08 -2.692    144   9         |    0.32 -2.637    335 200         
154    3.41 -2.860    144   9         |    2.69 -2.809    144   9         |    1.01 -2.687    144   9         |    0.32 -2.637    144   9         
155    3.27 -2.850    144   9         |    2.49 -2.794    144   9         |    0.91 -2.680    144   9         |    0.28 -2.634    144   9         
156    3.11 -2.839    144   9         |    2.27 -2.778    144   9         |    0.78 -2.671    144   9         |    0.20 -2.629    144   9         
157    2.94 -2.826    144   9         |    2.04 -2.762    144   9         |    0.63 -2.660    144   9         |    0.09 -2.621    144   9         
158    2.74 -2.812    144   9         |    1.79 -2.744    144   9         |    0.45 -2.647    144   9         |   -0.04 -2.612    144   9         
159    2.53 -2.797    144   9         |    1.54 -2.726    144   9         |    0.26 -2.634    144   9         |   -0.20 -2.600    144   9         
160    2.31 -2.781    144   9         |    1.27 -2.707    144   9         |    0.05 -2.619    144   9         |   -0.28 -2.597    540 200         
161    2.08 -2.764    144   9         |    1.00 -2.687    144   9         |   -0.17 -2.602    144   9         |   -0.21 -2.600    717 200         
162    1.83 -2.747    144   9         |    0.72 -2.667    144   9         |   -0.41 -2.585    144   9         |   -9.22 -2.589    908 200         
163    1.57 -2.728    144   9         |    0.43 -2.646    144   9         |   -0.66 -2.568    144   9         |   -0.31 -2.596   1101 200         
164    1.31 -2.709    144   9         |    0.14 -2.625    144   9         |   -0.92 -2.549    144   9         |   -0.30 -2.594    729 200         
165    1.03 -2.689    144   9         |   -0.16 -2.604    144   9         |   -0.98 -2.545    319 182         |   -0.33 -2.593   1316 200         
166    0.75 -2.669    144   9         |   -0.46 -2.582    144   9         |  -20.00 -2.543*   661 178         |   -0.71 -2.593   1345 200         
167    0.46 -2.648    144   9         |   -0.77 -2.560    144   9         |   -1.04 -2.541    504 200         |   -7.75 -2.595   1540 200         
168    0.16 -2.627    144   9         |   -1.08 -2.538    144   9         |   -0.93 -2.547    666 176         |   -7.88 -2.595   1754 200         
169   -0.14 -2.606    144   9         |   -1.39 -2.516    144   9         |   -0.83 -2.556    675 200         |   -0.99 -2.592   1799 200         
170   -0.44 -2.584    144   9         |   -1.70 -2.493    144   9         |   -0.92 -2.549    679 200         |   -8.17 -2.594   2102 200         
171   -0.75 -2.562    144   9         |   -2.01 -2.471    144   9         |  -20.00 -2.543*   841 200         |   -7.94 -2.595   2114 200         
172   -1.06 -2.539    144   9         |   -2.32 -2.448    144   9         |  -17.74 -2.568   1026 200         |   -0.69 -2.592   2118 200         
173   -1.37 -2.517    144   9         |   -2.64 -2.426    144   9         |   -0.85 -2.556    680 200         |   -0.78 -2.592   2295 200         
174   -1.68 -2.495    144   9         |   -2.95 -2.403    144   9         |   -1.04 -2.541    674 200         |   -1.25 -2.592   2496 200         
175   -1.99 -2.472    144   9         |   -5.38 -2.425    410  71         |  -20.00 -2.558*  1349 200         |   -7.92 -2.595   2661 200         
176   -2.31 -2.449    144   9         |   -4.89 -2.443    443  77         |   -0.73 -2.561   1033 200         |   -1.05 -2.592   2676 200         
177   -2.62 -2.427    144   9         |   -6.03 -2.424    226  21         |   -1.07 -2.555    843 200         |   -8.40 -2.593   2856 200         
